Fecha,Temperatura Exterior (°C),Humedad Exterior (%),Sensación Térmica (°C),Velocidad del Viento (km/h),Dirección del Viento (°),Presión Relativa (hPa),Tasa de Precipitación (mm/h),Radiación Solar (W/m²),Índice UV
2024-12-12 10:15:00,4.94,94.0,4.94,2.41,162.0,1022.01,0.0,52.0,0.0
2024-12-12 10:20:00,5.0,93.0,5.0,1.61,199.0,1022.01,0.0,58.1,0.0
2024-12-12 10:25:00,5.06,93.0,5.06,0.16,203.0,1022.01,0.0,62.0,0.0
2024-12-12 10:30:00,5.94,91.0,5.94,0.0,143.0,1022.01,0.0,86.2,0.0
2024-12-12 10:35:00,6.06,90.0,6.06,1.77,179.0,1022.01,0.0,89.8,0.0
2024-12-12 10:40:00,6.17,91.0,6.17,1.77,155.0,1022.01,0.0,90.2,0.0
2024-12-12 10:45:00,6.5,90.0,6.5,0.48,168.0,1022.01,0.0,88.8,0.0
2024-12-12 10:50:00,6.44,90.0,6.44,0.64,199.0,1022.01,0.0,87.1,0.0
2024-12-12 10:55:00,6.67,89.0,6.67,0.0,180.0,1022.01,0.0,102.8,1.0
2024-12-12 11:00:00,6.89,89.0,6.89,0.0,133.0,1022.01,0.0,134.8,1.0
2024-12-12 11:05:00,7.39,88.0,7.39,0.0,151.0,1022.35,0.0,132.2,1.0
2024-12-12 11:10:00,7.56,85.0,7.56,0.0,146.0,1022.35,0.0,142.3,1.0
2024-12-12 11:15:00,7.94,84.0,7.94,0.0,156.0,1022.01,0.0,140.9,1.0
2024-12-12 11:20:00,8.28,81.0,8.28,0.0,207.0,1022.01,0.0,140.4,1.0
2024-12-12 11:25:00,8.39,78.0,8.39,0.0,243.0,1022.01,0.0,146.6,1.0
2024-12-12 11:30:00,8.56,79.0,8.56,0.0,238.0,1022.01,0.0,160.5,1.0
2024-12-12 11:35:00,8.67,80.0,8.67,0.0,211.0,1022.01,0.0,157.4,1.0
2024-12-12 11:40:00,9.17,79.0,9.17,0.0,187.0,1022.01,0.0,164.8,1.0
2024-12-12 11:45:00,9.61,78.0,9.61,0.0,207.0,1022.01,0.0,166.5,1.0
2024-12-12 11:50:00,9.56,79.0,9.56,2.25,271.0,1022.01,0.0,170.1,1.0
2024-12-12 11:55:00,9.22,79.0,9.22,2.74,270.0,1022.01,0.0,156.1,1.0
2024-12-12 12:00:00,9.0,78.0,9.0,3.86,272.0,1022.01,0.0,190.4,1.0
2024-12-12 12:05:00,9.06,77.0,9.06,3.06,262.0,1022.01,0.0,190.8,1.0
2024-12-12 12:10:00,9.22,77.0,9.22,3.22,268.0,1022.01,0.0,193.1,1.0
2024-12-12 12:15:00,9.44,77.0,9.44,1.13,236.0,1021.67,0.0,190.4,1.0
2024-12-12 12:20:00,9.67,76.0,9.67,1.93,254.0,1021.67,0.0,221.2,2.0
2024-12-12 12:25:00,9.89,77.0,9.83,3.38,300.0,1021.34,0.0,242.8,2.0
2024-12-12 12:30:00,10.0,76.0,10.0,3.7,294.0,1021.67,0.0,241.1,2.0
2024-12-12 12:35:00,10.0,75.0,10.0,3.38,270.0,1021.34,0.0,228.5,2.0
2024-12-12 12:40:00,10.11,75.0,10.11,2.74,269.0,1021.34,0.0,222.0,2.0
2024-12-12 12:45:00,10.39,76.0,10.39,2.74,288.0,1021.34,0.0,237.2,2.0
2024-12-12 12:50:00,10.5,75.0,10.5,3.22,285.0,1021.34,0.0,248.1,2.0
2024-12-12 12:55:00,10.5,74.0,10.5,3.22,270.0,1021.34,0.0,246.8,2.0
2024-12-12 13:00:00,10.67,72.0,10.67,3.38,278.0,1021.34,0.0,237.2,2.0
2024-12-12 13:05:00,10.89,72.0,10.89,3.38,286.0,1021.0,0.0,239.8,2.0
2024-12-12 13:10:00,11.0,69.0,11.0,4.83,285.0,1021.0,0.0,225.1,2.0
2024-12-12 13:15:00,11.22,69.0,11.22,2.25,252.0,1021.0,0.0,194.8,1.0
2024-12-12 13:20:00,11.39,67.0,11.39,2.9,265.0,1021.0,0.0,185.2,1.0
2024-12-12 13:25:00,11.56,66.0,11.56,3.06,263.0,1020.66,0.0,169.6,1.0
2024-12-12 13:30:00,11.83,65.0,11.83,2.25,263.0,1020.66,0.0,169.6,1.0
2024-12-12 13:35:00,12.06,64.0,12.06,1.93,218.0,1020.66,0.0,179.1,1.0
2024-12-12 13:40:00,12.28,63.0,12.28,3.22,290.0,1020.66,0.0,191.2,1.0
2024-12-12 13:45:00,12.06,62.0,12.06,3.86,277.0,1020.32,0.0,203.8,2.0
2024-12-12 13:50:00,12.17,63.0,12.17,4.18,288.0,1020.32,0.0,203.8,2.0
2024-12-12 13:55:00,12.17,64.0,12.17,3.06,247.0,1020.32,0.0,206.4,2.0
2024-12-12 14:00:00,12.28,65.0,12.28,2.25,270.0,1020.32,0.0,205.2,2.0
2024-12-12 14:05:00,12.39,64.0,12.39,3.06,278.0,1020.32,0.0,199.0,1.0
2024-12-12 14:10:00,12.5,65.0,12.5,2.57,265.0,1020.32,0.0,187.8,1.0
2024-12-12 14:15:00,12.61,64.0,12.61,2.41,281.0,1020.32,0.0,194.8,1.0
2024-12-12 14:20:00,12.89,64.0,12.89,1.77,235.0,1020.32,0.0,190.0,1.0
2024-12-12 14:25:00,13.22,61.0,13.22,1.93,223.0,1019.98,0.0,159.5,1.0
2024-12-12 14:30:00,13.33,62.0,13.33,1.61,248.0,1019.98,0.0,164.3,1.0
2024-12-12 14:35:00,13.22,61.0,13.22,2.57,281.0,1019.98,0.0,167.8,1.0
2024-12-12 14:40:00,13.33,60.0,13.33,2.25,220.0,1019.98,0.0,173.0,1.0
2024-12-12 14:45:00,13.61,62.0,13.61,1.93,255.0,1019.98,0.0,164.3,1.0
2024-12-12 14:50:00,14.17,61.0,14.17,1.29,201.0,1019.98,0.0,155.2,1.0
2024-12-12 14:55:00,14.22,60.0,14.22,2.74,242.0,1019.98,0.0,173.0,1.0
2024-12-12 15:00:00,14.22,61.0,14.22,2.74,222.0,1021.0,0.0,170.1,1.0
2024-12-12 15:05:00,14.39,61.0,14.39,1.45,203.0,1021.0,0.0,170.1,1.0
2024-12-12 15:10:00,14.28,59.0,14.28,1.61,204.0,1020.66,0.0,150.5,1.0
2024-12-12 15:15:00,14.22,62.0,14.22,2.41,264.0,1020.66,0.0,138.7,1.0
2024-12-12 15:20:00,13.39,64.0,13.39,2.57,265.0,1020.66,0.0,137.9,1.0
2024-12-12 15:25:00,13.17,64.0,13.17,3.22,274.0,1020.66,0.0,136.7,1.0
2024-12-12 15:30:00,13.11,66.0,13.11,1.93,264.0,1020.66,0.0,130.9,1.0
2024-12-12 15:35:00,13.83,63.0,13.83,0.8,203.0,1020.66,0.0,112.7,1.0
2024-12-12 15:40:00,14.44,63.0,14.44,0.0,211.0,1020.66,0.0,61.2,0.0
2024-12-12 15:45:00,14.11,65.0,14.11,0.64,280.0,1020.66,0.0,62.4,0.0
2024-12-12 15:50:00,13.78,66.0,13.78,0.16,226.0,1020.66,0.0,105.8,1.0
2024-12-12 15:55:00,13.89,66.0,13.89,0.97,238.0,1020.66,0.0,97.1,0.0
2024-12-12 16:00:00,14.17,68.0,14.17,0.32,227.0,1020.66,0.0,85.4,0.0
2024-12-12 16:05:00,14.72,67.0,14.72,0.0,227.0,1020.66,0.0,71.6,0.0
2024-12-12 16:10:00,14.78,68.0,14.78,0.0,199.0,1020.66,0.0,68.9,0.0
2024-12-12 16:15:00,13.78,70.0,13.78,0.0,245.0,1020.66,0.0,59.3,0.0
2024-12-12 16:20:00,13.5,74.0,13.5,0.48,214.0,1020.66,0.0,48.1,0.0
2024-12-12 16:25:00,12.78,72.0,12.78,0.8,190.0,1020.66,0.0,37.2,0.0
2024-12-12 16:30:00,12.28,74.0,12.28,0.0,216.0,1020.66,0.0,36.8,0.0
2024-12-12 16:35:00,12.17,76.0,12.17,0.0,239.0,1020.66,0.0,36.0,0.0
2024-12-12 16:40:00,11.11,79.0,11.11,0.0,302.0,1021.0,0.0,34.2,0.0
2024-12-12 16:45:00,10.56,81.0,10.56,0.0,310.0,1021.0,0.0,30.7,0.0
2024-12-12 16:50:00,10.44,81.0,10.44,0.0,275.0,1021.0,0.0,29.0,0.0
